SRA,BioProject,Strain,Genotype,Experiment,Condition,Post_induction,Replicates,P_aas,P_tesA,P_rpaA,P_kaiBC,P_rpaA_D53E,P_OX_plasmid,P_Subjective_dawn,P_Subjective_dusk,P_N (mg/L),P_np_kaiBC,P_p0050_kaiBC,P_rel,P_relA,P_relA_E335Q,P_Light (umol photons m-2 s-1),P_sigF,P_rpoD2,P_rpoD6,P_rpoD5,P_pAM2991-xylEAB,P_pAM2991-galP,P_pilB::Tn5,P_BG-11,P_CM,P_Biofilm,Project_tag,SRA_study_id,Ref_condition,Experiment_type,Project_replicates,Single_paired,RNASeq_samples_n,Data_loc,Data_link,Paper,Culture,Growth_Phase,Media,CO2 (%),Light (uE*m-2*sec-1),Temp (°C),Agitation (rpm),OD,pH,Notes,Time_delta,Condition_pi,Passed_Min_Reads,Passed_Global_Corr,passed_replicate_corr,passed_timeseries_corr,Overall_pass
SRR807411,PRJNA196229,Synechococcus elongatus PCC 7942 = FACHB-805,aas- tesA+,RNA-seq,SE02,240h,2,0,1,1,1,0,0,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,FFA,SRP020509,WT_100h,Genetic_engineering,TRUE,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1,60,30,150,0.15,,,10 days 00:00:00,SE02_240h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR807412,PRJNA196229,Synechococcus elongatus PCC 7942 = FACHB-805,aas- tesA+,RNA-seq,SE02,240h,3,0,1,1,1,0,0,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,FFA,SRP020509,WT_100h,Genetic_engineering,TRUE,S,17,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP020509&o=acc_s%3Aa, https://doi.org/10.1186/1754-6834-6-113,Batch,stationary (100 hrs),BG-11,1,60,30,150,0.15,,,10 days 00:00:00,SE02_240h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR1001850,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,24h,,1,0,1,1,0,0,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,1 days 00:00:00,EOC113_24h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001851,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,28h,,1,0,1,1,0,0,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,1 days 04:00:00,EOC113_28h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001852,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,32h,,1,0,1,1,0,0,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,1 days 08:00:00,EOC113_32h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001853,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,36h,,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,1 days 12:00:00,EOC113_36h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001854,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,40h,,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,1 days 16:00:00,EOC113_40h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001855,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805,EOC113,RNA-seq,EOC113,44h,,1,0,1,1,0,0,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,1 days 20:00:00,EOC113_44h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001856,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,0h,,1,0,0,0,1,1,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 00:00:00,OX-D53E_IPTG_0h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001857,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,0.5h,,1,0,0,0,1,1,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 00:30:00,OX-D53E_IPTG_0.5h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001858,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,2h,,1,0,0,0,1,1,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 02:00:00,OX-D53E_IPTG_2h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001859,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,3h,,1,0,0,0,1,1,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 03:00:00,OX-D53E_IPTG_3h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001860,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,6h,,1,0,0,0,1,1,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 06:00:00,OX-D53E_IPTG_6h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001861,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E_IPTG,12h,,1,0,0,0,1,1,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 12:00:00,OX-D53E_IPTG_12h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001862,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E,0h,,1,0,0,0,0,1,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 00:00:00,OX-D53E_0h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001863,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E,3h,,1,0,0,0,0,1,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 03:00:00,OX-D53E_3h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001864,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-D53E,RNA-seq,OX-D53E,12h,,1,0,0,0,0,1,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 12:00:00,OX-D53E_12h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001865,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-Empty,RNA-seq,OX-Empty_IPTG,0h,,1,0,1,1,0,1,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 00:00:00,OX-Empty_IPTG_0h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001866,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-Empty,RNA-seq,OX-Empty_IPTG,3h,,1,0,1,1,0,1,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 03:00:00,OX-Empty_IPTG_3h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR1001867,PRJNA221220,Synechococcus elongatus PCC 7942 = FACHB-805, OX-Empty,RNA-seq,OX-Empty_IPTG,12h,,1,0,1,1,0,1,0,1,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,RpaA,SRP030395,EOC113_24h,Genetic_characterization,FALSE,S,18,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP030395&o=acc_s%3Aa,www.doi.org/10.1016/j.cell.2013.11.005,Terbidostat,TimeSeries,BG-11M,1,100,30,,0.3,8,,0 days 12:00:00,OX-Empty_IPTG_12h,TRUE,TRUE,FALSE,TRUE,TRUE
SRR3283837,PRJNA315938,Synechococcus elongatus PCC 7942 = FACHB-805,WT,RNA-seq,WT,48h,1,1,0,1,1,0,0,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,Nstarv,SRP072154,WT_48h,Perturbation,TRUE,P,6,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP072154&o=acc_s%3Aa,"https://doi.org/10.1038/srep30584,  https://doi.org/10.1111/pbi.12536",Bath,exponential (24hrs),BG-11,5,100,30,,1,,,2 days 00:00:00,WT_48h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR3283838,PRJNA315938,Synechococcus elongatus PCC 7942 = FACHB-805,WT,RNA-seq,WT,48h,2,1,0,1,1,0,0,1,0,0.16,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,Nstarv,SRP072154,WT_48h,Perturbation,TRUE,P,6,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP072154&o=acc_s%3Aa,"https://doi.org/10.1038/srep30584,  https://doi.org/10.1111/pbi.12536",Bath,exponential (24hrs),BG-11,5,100,30,,1,,,2 days 00:00:00,WT_48h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR3283839,PRJNA315938,Synechococcus elongatus PCC 7942 = FACHB-805,WT,RNA-seq,N_starve,48h,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,Nstarv,SRP072154,WT_48h,Perturbation,TRUE,P,6,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP072154&o=acc_s%3Aa,"https://doi.org/10.1038/srep30584,  https://doi.org/10.1111/pbi.12536",Bath,exponential (24hrs),BG-11,5,100,30,,1,,,2 days 00:00:00,N_starve_48h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR3283840,PRJNA315938,Synechococcus elongatus PCC 7942 = FACHB-805,WT,RNA-seq,N_starve,48h,2,1,0,1,1,0,0,1,0,0,1,0,1,0,0,50,1,1,1,1,0,0,0,1,0,0,Nstarv,SRP072154,WT_48h,Perturbation,TRUE,P,6,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP072154&o=acc_s%3Aa,"https://doi.org/10.1038/srep30584,  https://doi.org/10.1111/pbi.12536",Bath,exponential (24hrs),BG-11,5,100,30,,1,,,2 days 00:00:00,N_starve_48h,TRUE,TRUE,TRUE,FALSE,TRUE
SRR5031863,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dark,0m,,1,0,1,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:00:00,clock_rescue_dark_0m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031864,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dark,5m,,1,0,1,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:05:00,clock_rescue_dark_5m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031865,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dark,15m,,1,0,1,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:15:00,clock_rescue_dark_15m,TRUE,TRUE,FALSE,TRUE,TRUE
SRR5031866,PRJNA354335,Synechococcus elongatus PCC 7942 = FACHB-805,P0050_kaiBC,RNA-seq,clock_rescue_dark,30m,,1,0,1,1,0,0,0,1,0.16,0,1,1,0,0,50,1,1,1,1,0,0,0,1,0,0,ClockRes,SRP093663,clock_rescue_dawn_5m,Genetic_characterization,FALSE,S,24,Both,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRP093663&o=acc_s%3Aa,https://doi.org/10.7554/eLife.23210,Batch,TimeSeries,BG-11,,40,30,,0.2,,,0 days 00:30:00,clock_rescue_dark_30m,TRUE,TRUE,FALSE,TRUE,TRUE
