,gene_weight,product_accession,locus_tag_old,GeneID,start,end,strand,COG,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,P2TF_description,DeepTF_prediction,ENTRAF_hmm_name,iTAK_Detail,module
H6G84_RS01340,0.1073412891829494,WP_011244098.1,Synpcc7942_2314,groES,271668.0,271979.0,+,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008144,GO:0008150,GO:0009987,GO:0010033,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0035966,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043169,GO:0044424,GO:0044464,GO:0046872,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0061077,GO:0097159,GO:0097367,GO:1901265,GO:1901363",-,ko:K04078,-,-,-,-,"ko00000,ko03029,ko03110",-,-,-,Cpn10,,0.0,,,2
H6G84_RS01345,0.0898238561949507,WP_011244099.1,Synpcc7942_2313,groL,272027.0,273661.0,+,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006457,GO:0008144,GO:0008150,GO:0009987,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042026,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0097159,GO:0097367,GO:1901265,GO:1901363",-,ko:K04077,"ko03018,ko04212,ko04940,ko05134,ko05152,map03018,map04212,map04940,map05134,map05152",-,-,-,"ko00000,ko00001,ko03019,ko03029,ko03110,ko04147",-,-,-,Cpn60_TCP1,,0.0,,,2
H6G84_RS03880,0.1401173333793164,WP_173282536.1,Synpcc7942_1822,,760772.0,760945.0,-,S,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,2
H6G84_RS03885,0.1434712077223282,WP_011244583.1,Synpcc7942_1821,,761012.0,761371.0,-,O,-,-,"ko:K02200,ko:K04018",-,-,-,-,ko00000,-,-,-,"TPR_16,TPR_19,TPR_2,TPR_8",,0.0,,,2
H6G84_RS03890,0.1050301230604446,WP_011378207.1,Synpcc7942_1820,,761540.0,762268.0,+,S,-,-,ko:K06890,-,-,-,-,ko00000,-,-,-,Bax1-I,,0.0,,,2
H6G84_RS03925,0.1743318185405207,WP_011244591.1,Synpcc7942_1813,htpG,768925.0,770841.0,+,O,-,-,ko:K04079,"ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418",-,-,-,"ko00000,ko00001,ko01009,ko03029,ko03051,ko03110,ko04131,ko04147",-,-,-,"HATPase_c,HATPase_c_3,HSP90",,0.0,,,2
H6G84_RS04045,0.1123537040429977,WP_011244614.1,Synpcc7942_1789,,794263.0,795243.0,-,O,"GO:0003674,GO:0005488,GO:0005515,GO:0006457,GO:0008150,GO:0009987,GO:0051082",-,ko:K05516,-,-,-,-,"ko00000,ko03036,ko03110",-,-,-,"DnaJ,DnaJ_C",,0.0,,,2
H6G84_RS05645,0.121814507149511,WP_011243403.1,Synpcc7942_0425,,153024.0,153401.0,+,S,-,-,-,-,-,-,-,-,-,-,-,DUF760,,0.0,,,2
H6G84_RS06210,0.1009401237557693,WP_011243509.1,Synpcc7942_0316,,253842.0,254033.0,+,S,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,2
H6G84_RS06535,0.2131967087937591,WP_011377508.1,Synpcc7942_0253,,319836.0,320294.0,+,S,,,,,,,,,,,,,,0.0,,,2
H6G84_RS06540,0.1151288269341938,WP_011243573.1,Synpcc7942_0252,,320329.0,320556.0,+,S,-,-,-,-,-,-,-,-,-,-,-,CP12,,0.0,,,2
H6G84_RS06545,0.1040149861628584,WP_011243574.1,Synpcc7942_0251,,320585.0,321355.0,-,L,-,2.7.7.7,ko:K02342,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",-,-,-,RNase_T,,0.0,,,2
H6G84_RS08410,0.1048817491810742,WP_011377979.1,Synpcc7942_1314,ftsH4,90324.0,92195.0,+,O,"GO:0000166,GO:0003674,GO:0003824,GO:0004175,GO:0004176,GO:0004222,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0006091,GO:0006508,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0008270,GO:0009056,GO:0009057,GO:0009314,GO:0009416,GO:0009579,GO:0009628,GO:0009642,GO:0009644,GO:0009765,GO:0009892,GO:0009987,GO:0010109,GO:0010205,GO:0010206,GO:0010304,GO:0015979,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019222,GO:0019538,GO:0019684,GO:0030091,GO:0030163,GO:0030554,GO:0031224,GO:0031323,GO:0031324,GO:0032553,GO:0032555,GO:0032559,GO:0034357,GO:0035639,GO:0036094,GO:0042548,GO:0042623,GO:0042651,GO:0043155,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043467,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0046872,GO:0046914,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0065007,GO:0070011,GO:0071704,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1905156",-,ko:K03798,-,M00742,-,-,"ko00000,ko00002,ko01000,ko01002,ko03110",-,-,-,"AAA,FtsH_ext,Peptidase_M41",,0.0,,,2
H6G84_RS09230,0.188604916298611,WP_011377886.1,Synpcc7942_1154,,252286.0,253593.0,+,S,-,-,-,-,-,-,-,-,-,-,-,"DUF697,MMR_HSR1",,0.0,,,2
H6G84_RS09235,0.1092825224428071,WP_011242709.1,Synpcc7942_1153,,253590.0,255434.0,+,S,-,-,ko:K06946,-,-,-,-,ko00000,-,-,-,MMR_HSR1,,0.0,,,2
H6G84_RS09515,0.1063841509529714,WP_011242759.1,Synpcc7942_1102,,314471.0,314899.0,-,S,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,2
H6G84_RS09520,0.1388116818598128,WP_011242760.1,Synpcc7942_1101,,314911.0,316068.0,-,O,-,-,ko:K08372,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko01000,ko01002",-,-,-,"PDZ_2,Trypsin_2",,0.0,,,2
H6G84_RS09580,0.2194363535121698,WP_039755993.1,Synpcc7942_1089,clpB,327368.0,329992.0,-,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006457,GO:0006807,GO:0006950,GO:0008144,GO:0008150,GO:0008152,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042026,GO:0043167,GO:0043168,GO:0043170,GO:0044238,GO:0044424,GO:0044464,GO:0050896,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564",-,ko:K03695,"ko04213,map04213",-,-,-,"ko00000,ko00001,ko03110",-,-,-,"AAA,AAA_2,ClpB_D2-small,Clp_N",,0.0,,,2
H6G84_RS11830,-0.082044511424526,WP_011242402.1,Synpcc7942_1630,,263960.0,264295.0,+,C,"GO:0003674,GO:0003824,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009579,GO:0009987,GO:0015979,GO:0016491,GO:0020037,GO:0022900,GO:0031977,GO:0043167,GO:0043169,GO:0044237,GO:0044424,GO:0044436,GO:0044464,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0055114,GO:0097159,GO:1901363",-,ko:K08906,"ko00195,map00195",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Cytochrome_CBB3,,0.0,,,2
H6G84_RS12780,0.1217130188117628,WP_041674884.1,,,186462.0,186710.0,-,S,,,,,,,,,,,,,,,,,2
H6G84_RS12995,0.1661182033924569,WP_011243156.1,Synpcc7942_0685,groL,223300.0,224967.0,-,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006458,GO:0008144,GO:0008150,GO:0009987,GO:0016465,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0035639,GO:0036094,GO:0042026,GO:0043167,GO:0043168,GO:0044183,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0051082,GO:0061077,GO:0097159,GO:0097367,GO:0101031,GO:1901265,GO:1901363,GO:1990220",-,ko:K04077,"ko03018,ko04212,ko04940,ko05134,ko05152,map03018,map04212,map04940,map05134,map05152",-,-,-,"ko00000,ko00001,ko03019,ko03029,ko03110,ko04147",-,-,-,Cpn60_TCP1,,0.0,,,2
H6G84_RS00250,0.3415310281832511,WP_011378507.1,Synpcc7942_2529,,44238.0,44522.0,+,S,,,,,,,,,,,,,,0.0,,,3
H6G84_RS03765,0.265527830710843,WP_011244559.1,Synpcc7942_1845,,743396.0,743623.0,-,S,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,3
H6G84_RS10535,0.44429646430424,WP_011242952.1,Synpcc7942_0900,,525086.0,525289.0,+,S,-,-,-,-,-,-,-,-,-,-,-,DUF4278,,0.0,,,3
H6G84_RS00550,0.1630259086890575,WP_011378479.1,Synpcc7942_2468,dnaK,104749.0,106653.0,-,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0006457,GO:0008144,GO:0008150,GO:0009987,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0051082,GO:0097159,GO:0097367,GO:1901265,GO:1901363",-,ko:K04043,"ko03018,ko04212,ko05152,map03018,map04212,map05152",-,-,-,"ko00000,ko00001,ko03019,ko03029,ko03110,ko04147",1.A.33.1,-,-,HSP70,,0.0,,,4
H6G84_RS01340,0.3353175716454509,WP_011244098.1,Synpcc7942_2314,groES,271668.0,271979.0,+,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008144,GO:0008150,GO:0009987,GO:0010033,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0035966,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043169,GO:0044424,GO:0044464,GO:0046872,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0061077,GO:0097159,GO:0097367,GO:1901265,GO:1901363",-,ko:K04078,-,-,-,-,"ko00000,ko03029,ko03110",-,-,-,Cpn10,,0.0,,,4
H6G84_RS01345,0.3463471076954681,WP_011244099.1,Synpcc7942_2313,groL,272027.0,273661.0,+,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006457,GO:0008144,GO:0008150,GO:0009987,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042026,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0097159,GO:0097367,GO:1901265,GO:1901363",-,ko:K04077,"ko03018,ko04212,ko04940,ko05134,ko05152,map03018,map04212,map04940,map05134,map05152",-,-,-,"ko00000,ko00001,ko03019,ko03029,ko03110,ko04147",-,-,-,Cpn60_TCP1,,0.0,,,4
H6G84_RS03925,0.1676473841050716,WP_011244591.1,Synpcc7942_1813,htpG,768925.0,770841.0,+,O,-,-,ko:K04079,"ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418",-,-,-,"ko00000,ko00001,ko01009,ko03029,ko03051,ko03110,ko04131,ko04147",-,-,-,"HATPase_c,HATPase_c_3,HSP90",,0.0,,,4
H6G84_RS12995,0.156068827080588,WP_011243156.1,Synpcc7942_0685,groL,223300.0,224967.0,-,O,"GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006458,GO:0008144,GO:0008150,GO:0009987,GO:0016465,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0035639,GO:0036094,GO:0042026,GO:0043167,GO:0043168,GO:0044183,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0051082,GO:0061077,GO:0097159,GO:0097367,GO:0101031,GO:1901265,GO:1901363,GO:1990220",-,ko:K04077,"ko03018,ko04212,ko04940,ko05134,ko05152,map03018,map04212,map04940,map05134,map05152",-,-,-,"ko00000,ko00001,ko03019,ko03029,ko03110,ko04147",-,-,-,Cpn60_TCP1,,0.0,,,4
H6G84_RS03745,0.2511853884909539,WP_039755643.1,,,738673.0,738939.0,-,S,,,,,,,,,,,,,,,,,5
H6G84_RS11420,0.4607737756980012,WP_011378081.1,Synpcc7942_1557,,178491.0,179423.0,-,K,-,-,"ko:K03086,ko:K03087","ko02026,ko05111,map02026,map05111",-,-,-,"ko00000,ko00001,ko03021",-,-,-,"Sigma70_r1_2,Sigma70_r2,Sigma70_r3,Sigma70_r4","Sigma factor, RpoD family contains 1 Sigma70_r1_2,1 Sigma70_r2,1 Sigma70_r3,1 Sigma70_r4",1.0,,,5
H6G84_RS11425,-0.2737649054275108,WP_039755693.1,,,179628.0,179813.0,+,S,,,,,,,,,,,,,,,,,5
H6G84_RS01650,0.1349812521057663,WP_011378377.1,Synpcc7942_2254,,330518.0,331876.0,+,N,-,-,-,-,-,-,-,-,-,-,-,DUF3370,,0.0,,,6
H6G84_RS04690,0.146914544370642,WP_011244737.1,Synpcc7942_1661,,923553.0,924116.0,-,S,-,-,-,-,-,-,-,-,-,-,-,COP23,,0.0,,,6
H6G84_RS07940,0.2347148926672432,WP_039755900.1,Synpcc7942_2592,pyrE,588446.0,589051.0,+,F,"GO:0003674,GO:0003824,GO:0004588,GO:0006139,GO:0006213,GO:0006220,GO:0006221,GO:0006222,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009173,GO:0009174,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0044205,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046049,GO:0046131,GO:0046132,GO:0046134,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659",2.4.2.10,ko:K00762,"ko00240,ko01100,map00240,map01100",M00051,R01870,RC00611,"ko00000,ko00001,ko00002,ko01000",-,-,iJN678.umpS,Pribosyltran,,0.0,,,6
H6G84_RS07945,0.2877989311979903,WP_011378524.1,Synpcc7942_2591,,589095.0,589763.0,-,U,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,6
H6G84_RS07950,0.278368361582914,WP_011243830.1,Synpcc7942_2590,,589760.0,590275.0,-,U,"GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944",-,"ko:K02458,ko:K02459,ko:K02650,ko:K10927","ko02020,ko03070,ko05111,map02020,map03070,map05111",M00331,-,-,"ko00000,ko00001,ko00002,ko02035,ko02044","3.A.15,3.A.15.2",-,-,N_methyl,,0.0,,,6
H6G84_RS08340,0.1387146923693073,WP_011242540.1,Synpcc7942_1328,,73170.0,73562.0,-,S,-,-,-,-,-,-,-,-,-,-,-,DUF1622,,0.0,,,6
H6G84_RS08345,0.1643801255420303,WP_011377987.1,Synpcc7942_1327,,73628.0,73921.0,-,S,,,,,,,,,,,,,,0.0,,,6
H6G84_RS00410,0.0440553898019578,WP_011243918.1,Synpcc7942_2498,,75560.0,76804.0,+,S,-,-,ko:K07192,"ko04910,map04910",-,-,-,"ko00000,ko00001,ko03036,ko04131,ko04147",-,-,-,Band_7,,0.0,,,7
H6G84_RS00440,-0.0451333226569781,WP_011243924.1,Synpcc7942_2492,,81207.0,81920.0,+,E,-,-,ko:K01996,"ko02010,ko02024,map02010,map02024",M00237,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.4,-,-,ABC_tran,,0.0,,,7
H6G84_RS00540,0.0511205818440831,WP_011378480.1,Synpcc7942_2470,,102811.0,103578.0,-,S,-,-,-,-,-,-,-,-,-,-,-,DUF502,,0.0,,,7
H6G84_RS00805,-0.0521317397473342,WP_011243997.1,Synpcc7942_2419,,163121.0,163645.0,-,S,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,7
H6G84_RS00945,0.0469028036362847,WP_234909997.1,Synpcc7942_2391,,189427.0,190041.0,-,I,-,-,-,-,-,-,-,-,-,-,-,adh_short,,0.0,,,7
H6G84_RS01135,0.0633818162679352,WP_011244058.1,Synpcc7942_2355,,233173.0,233496.0,+,S,-,-,-,-,-,-,-,-,-,-,-,Phasin,,0.0,,,7
H6G84_RS01220,0.0550393437004347,WP_011378412.1,Synpcc7942_2338,,248509.0,249426.0,-,S,,,,,,,,,,,,,,0.0,,,7
H6G84_RS01410,0.0469632137595209,WP_011378396.1,Synpcc7942_2301,,284461.0,284733.0,-,S,,,,,,,,,,,,,,0.0,,,7
H6G84_RS01510,0.0471478960685662,WP_231621383.1,Synpcc7942_2281,,304121.0,304939.0,-,S,-,-,-,-,-,-,-,-,-,-,-,-,,0.0,,,7
H6G84_RS01635,0.0511031835938741,WP_011378378.1,Synpcc7942_2257,,328443.0,328610.0,+,S,-,-,-,-,-,-,-,-,-,-,-,NdhS,,0.0,,,7
H6G84_RS01710,0.0539769622275293,WP_011244163.1,Synpcc7942_2245,psbZ,344744.0,344932.0,+,S,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0008152,GO:0009521,GO:0009523,GO:0009539,GO:0009579,GO:0009987,GO:0010109,GO:0015979,GO:0016020,GO:0016021,GO:0019222,GO:0030075,GO:0030096,GO:0031224,GO:0031323,GO:0032991,GO:0034357,GO:0042548,GO:0042549,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043467,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0050789,GO:0050794,GO:0065007,GO:0071944,GO:0098796,GO:0098797",-,ko:K02724,"ko00195,ko01100,map00195,map01100",-,-,-,"ko00000,ko00001,ko00194",-,-,-,Ycf9,,0.0,,,7
H6G84_RS01775,0.0443585866628363,WP_011244176.1,Synpcc7942_2231,rplD,356443.0,357075.0,+,J,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0019843,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02926,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L4,,0.0,,,7
